OBJECTID,NAME,PLZ,GPLZ,CANTON,CANTON_NR,BFSNR,CASES,SUBMISSIONS,FRACTION,POPULATION_AGGREGATED,SUBMISSIONS_PER_100K,CASES_PER_100K,Shape__Area,Shape__Length,Shape__Area_2,Shape__Length_2
76,St-Saphorin-sur-Morges,1113,1113,VD,22,5634,0,0,0,598,0,0,8001561.45019531,13553.2188807547,3786517.65844727,9321.41137506413
77,Colombier VD,1114,1114,VD,22,5634,0,0,0,576,0,0,11083822.2348633,15021.1120175034,5243381.4152832,10331.4802841437
78,Vullierens,1115,1115,VD,22,5654,0,0,0,510,0,0,14569771.4396973,18939.4205304149,6887837.63549805,13020.0308948724
79,Cottens VD,1116,1116,VD,22,5478,0,0,0,491,0,0,4980548.73876953,13327.4141516474,2354469.38964844,9159.6149101185
80,Grancy,1117,1117,VD,22,5485,0,0,0,411,0,0,12190685.1984863,16019.4601061929,5758836.70849609,11009.0158175096
81,Bremblens,1121,1121,VD,22,5622,0,0,0,554,0,0,6002421.95898438,12696.8737205303,2840258.19848633,8733.5353146761
82,Romanel-sur-Morges,1122,1122,VD,22,5645,0,0,0,457,0,0,3740393.38427734,11122.2086359209,1769376.56835938,7650.20264951799
83,Aclens,1123,1123,VD,22,5621,0,0,0,541,0,0,8086832.02368164,15191.5553367528,3823765.39379883,10445.7954183044
84,Gollion,1124,1124,VD,22,5484,0,0,0,937,0,0,11544372.6831055,16731.3010859174,5455066.13476563,11499.9572400503
85,Monnaz,1125,1125,VD,22,5634,0,0,0,390,0,0,3472710.22900391,9864.70745757855,1644172.80664063,6784.30305601734
86,Vaux-sur-Morges,1126,1126,VD,22,5650,0,0,0,194,0,0,4427481.05200195,10471.9900920413,2095778.91699219,7204.94289921542
87,Clarmont,1127,1127,VD,22,5629,0,0,0,167,0,0,2235447.50048828,8021.24346800645,1057761.94555664,5514.18937528601
88,Reverolle,1128,1128,VD,22,5644,0,0,0,440,0,0,2507178.07592773,8847.12717077994,1186653.61474609,6084.89044138196
89,Tolochenaz,1131,1131,VD,22,5649,0,0,0,1892,0,0,11773948.0898438,22319.8121243813,5584532.21484375,15361.7476146198
90,Lully VD,1132,1132,VD,22,5639,0,0,0,788,0,0,3401257.1706543,8670.60332335846,1611933.03637695,5969.11559891763
91,Vufflens-le-Château,1134,1134,VD,22,5653,0,0,0,1196,0,0,6319388.32128906,13883.9468422849,2993027.75439453,9554.2352211334
92,Denens,1135,1135,VD,22,5631,0,0,0,758,0,0,6967802.36108398,11667.1284590802,3300835.89086914,8033.25688507589
93,Bussy-Chardonney,1136,1136,VD,22,5625,0,0,0,384,0,0,6565256.06347656,12418.4630760541,3108574.93994141,8546.99938208615
94,Sévery,1141,1141,VD,22,5500,0,0,0,235,0,0,5075182.92700195,12027.2507675676,2399545.48681641,8265.65028640638
95,Pampigny,1142,1142,VD,22,5494,0,0,0,1127,0,0,23399864.3039551,23337.0090973354,11057049.4682617,16039.9782850042
96,Apples,1143,1143,VD,22,5421,0,0,0,1473,0,0,27032050.0483398,26723.6909333129,12788072.4277344,18379.0547469933
97,Ballens,1144,1144,VD,22,5423,0,0,0,556,0,0,18098731.0202637,22521.0440450301,8562419.67089844,15489.0158974842
98,Bière,1145,1145,VD,22,5425,0,0,0,1609,0,0,54011913.5112305,38866.3607136743,25558701.4746094,26742.4219268763
99,Mollens VD,1146,1146,VD,22,5431,0,0,0,297,0,0,23138193.3171387,23524.1125336056,10936564.6433105,16182.4979302544
100,Montricher,1147,1147,VD,22,5492,0,1,0,965,103.62694,0,55334473.0026855,35893.8832814248,26130906.7612305,24680.7542849139
101,L'Isle,1148,1148,VD,22,5486,0,0,0,2668,0,0,121410621.278564,65406.5026500075,57253134.6494141,44920.7939101609
102,Berolle,1149,1149,VD,22,5424,0,0,0,323,0,0,20406694.6479492,23379.7369784249,9649066.94604492,16081.7992047745
103,St-Prex Distribution,1162,1162,VD,22,5646,0,2,0,5789,34.54828,0,54092818.121582,33499.5108701827,25670835.484375,23074.0081730646
104,Etoy,1163,1163,VD,22,5636,0,0,0,2560,0,0,10320221.1176758,16245.2111093214,4894957.71728516,11189.3891034806
105,Buchillon,1164,1164,VD,22,5623,0,0,0,1012,0,0,44264336.697998,28136.3821944367,21022738.4086914,19386.7219714271
106,Allaman,1165,1165,VD,22,5851,0,0,0,479,0,0,24513071.2907715,29543.0937678556,11644983.6899414,20350.3437330595
107,Perroy,1166,1166,VD,22,5860,0,0,0,1515,0,0,33525497.6506348,30958.2637030512,15925640.1086426,21318.2730703219
108,Lussy-sur-Morges,1167,1167,VD,22,5640,0,0,0,685,0,0,4974692.58398438,9391.24305511958,2358065.03588867,6466.39593366597
109,Villars-sous-Yens,1168,1168,VD,22,5652,0,0,0,625,0,0,6394796.58203125,13828.7360739045,3030559.49365234,9518.58539221509
110,Yens,1169,1169,VD,22,5655,0,1,0,1442,69.34813,0,20111319.6418457,23321.9976447553,9523906.46118164,16051.8645262908
111,Aubonne,1170,1170,VD,22,5422,0,0,0,3328,0,0,15560742.5754395,22580.9153082263,7378667.63696289,15548.2999678141
112,Bougy-Villars,1172,1172,VD,22,5426,0,0,0,549,0,0,4034940.74267578,12064.7673042436,1913834.10571289,8308.05015734538
113,Féchy,1173,1173,VD,22,5427,0,0,0,848,0,0,5633209.27612305,11597.2296031429,2672379.80419922,7985.32848212047
114,Montherod,1174,1174,VD,22,5432,0,0,0,513,0,0,15222125.8974609,19369.5179271077,7215292.80151367,13336.5995368957
115,Lavigny,1175,1175,VD,22,5637,0,0,0,1003,0,0,7871284.24658203,12678.8713399984,3731014.54223633,8729.23568077683
116,St-Livres,1176,1176,VD,22,5435,0,0,0,645,0,0,16026328.3566895,20778.9941008888,7592053.43676758,14302.4446469669
117,Rolle Distribution,1180,1180,VD,22,5861,0,0,0,7178,0,0,34520273.6186523,35913.2691470388,16397697.3745117,24739.4747179267
118,Gilly,1182,1182,VD,22,5857,0,1,0,1206,82.91874,0,13438596.4958496,18437.9545553069,6378919.6496582,12701.8216867028
119,Bursins,1183,1183,VD,22,5853,0,1,0,800,125,0,4920983.56030273,12417.6474582177,2337171.02734375,8553.95684432857
